rank,token,token_utf8_bytes,aggregate_count,sample_standard_deviation,finite_sample_standard_deviation,positive_sample_standard_deviation
258,modo,4,258,0.015252660836211136,true,true
259,avevo,5,257,0.081434250685838747,true,true
260,vero,4,257,0.0097968910704230635,true,true
261,tratto,6,255,0.025143398706118938,true,true
262,notte,5,252,0.031788504222651164,true,true
263,dunque,6,251,0.035348134222694713,true,true
264,bocca,5,249,0.035985652648327017,true,true
265,primo,5,248,0.016982312471073201,true,true
266,intanto,7,246,0.021007654207420328,true,true
267,meglio,6,245,0.01826788303445882,true,true
268,sulle,5,243,0.025546241996312738,true,true
269,volte,5,243,0.016045164530438378,true,true
270,dalle,5,242,0.013997184917233271,true,true
271,madre,5,242,0.032557566126648833,true,true
272,stava,5,242,0.010000358787284716,true,true
273,essa,4,241,0.033146142841886599,true,true
274,intorno,7,238,0.022412431281485602,true,true
275,sera,4,238,0.021021945378718508,true,true
276,voglio,6,237,0.056332310386620572,true,true
277,cielo,5,235,0.031310337165120487,true,true
278,abbondio,8,234,0.04295128474632734,true,true
279,donne,5,234,0.041021344351245159,true,true
280,andò,5,233,0.031544377253657239,true,true
281,te,2,231,0.052230266321632822,true,true
282,andare,6,229,0.02489455538603742,true,true
283,amico,5,228,0.0168557473611976,true,true
284,va,2,227,0.014103540829297,true,true
285,sguardo,7,226,0.04373897316920991,true,true
286,bella,5,225,0.033897132832052,true,true
287,avanti,6,224,0.015596033035945058,true,true
288,povera,6,224,0.016156158533971402,true,true
289,sarà,5,224,0.017296336936870979,true,true
290,dice,4,223,0.019359189654695776,true,true
291,tutt,4,223,0.02973243671261739,true,true
292,andava,6,222,0.013639799289830841,true,true
293,doveva,6,221,0.018949322849035836,true,true
294,grande,6,221,0.019178359424853606,true,true
295,meno,4,221,0.014212405979130521,true,true
296,pane,4,220,0.032568144455573801,true,true
297,agnese,6,219,0.040197997262588402,true,true
298,caso,4,217,0.02023405958899975,true,true
299,città,6,217,0.015397088617434841,true,true
300,mente,5,216,0.019850845298264256,true,true
301,mise,4,215,0.019377248973603323,true,true
302,voleva,6,215,0.02080545173182952,true,true
303,dir,3,214,0.022889828304612558,true,true
304,contro,6,213,0.013916122113053491,true,true
305,fino,4,213,0.0045463550633379219,true,true
306,atto,4,212,0.030406401923662892,true,true
307,bisogno,7,212,0.021206468324147819,true,true
308,terra,5,211,0.033320213902291111,true,true
309,letto,5,209,0.017336591350247958,true,true
310,uomini,6,209,0.02619959502088821,true,true
311,vecchio,7,209,0.026481018996533844,true,true
312,avete,5,208,0.026360235652703776,true,true
313,vide,4,208,0.036068684511608565,true,true
314,agli,4,207,0.015738315382325545,true,true
315,giovine,7,207,0.03266350213431337,true,true
316,anima,5,206,0.035600663150037751,true,true
317,lontano,7,202,0.012784126868663431,true,true
318,qua,3,202,0.053753939275689,true,true
319,quest,5,200,0.021143841547818915,true,true
320,presto,6,199,0.021951093329674504,true,true
321,burattino,9,195,0.19458179757364902,true,true
322,parlare,7,195,0.024978936558611671,true,true
323,bel,3,194,0.033165947134263581,true,true
324,cominciò,9,194,0.058369895637508204,true,true
325,lungo,5,194,0.015265763782723603,true,true
326,potuto,6,192,0.018870470798815341,true,true
327,mattina,7,190,0.02214901636225541,true,true
328,avevano,7,189,0.017102110795789074,true,true
329,hai,3,189,0.043815644980436094,true,true
330,miei,4,189,0.045088932601754381,true,true
331,paura,5,189,0.031210643585173115,true,true
332,v,1,189,0.020736422243201779,true,true
333,forza,5,187,0.01383576806985341,true,true
334,acqua,5,186,0.050736901103667097,true,true
335,domandò,8,186,0.049533545413028124,true,true
336,tante,5,185,0.019979563726949333,true,true
337,vicino,6,185,0.0129829627572738,true,true
338,luogo,5,184,0.024090459976636124,true,true
339,quattro,7,184,0.029369924174460476,true,true
340,forte,5,183,0.010231381669952719,true,true
341,moglie,6,183,0.025413838750200115,true,true
342,stata,5,183,0.013281097165059924,true,true
343,dico,4,182,0.017336812357806475,true,true
344,dai,3,180,0.021735563515904045,true,true
345,fin,3,179,0.018025130770143314,true,true
346,prese,5,177,0.016837822113599795,true,true
347,uscio,5,177,0.015038486325464572,true,true
348,yves,4,177,0.11614740639101127,true,true
